Module,Feature Category,Feature Name,Sub Feature,Description,Primary Role,Secondary Roles,Navigation Path,Current Status,Completion Percentage,UI Available,Backend Available,API Connected,Database Ready,Offline Support,Push Notifications,Stub Present,Stub Details,TODO Present,Uses Dummy Data,Uses Mock API,Hidden Feature,Unused Code,Platform,Dependencies,Priority,Business Criticality,Recommended Action,Missing Capability,Suggested Enhancement,Industry Standard,Competitor Reference,Estimated Development Effort,Notes
Authentication,Auth,Login Throttle,Rate limiting on login attempts,IP + account-based throttle with lockout,School Admin,"Teacher, Parent",Server-side middleware,✅ Complete,85,No,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,Server,Ktor,Medium,High,-,-,Brute-force protection,PowerSchool,XS,LoginThrottle.kt,
Onboarding,School Setup,School Onboarding Wizard,Multi-step school setup wizard,Basic info → academic year → classes → subjects → teachers → students → branding,School Admin,-,AuthedFlow → SchoolOnboarding → Portal,✅ Complete,85,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"Ktor, Exposed",High,Critical,-,-,School onboarding,"PowerSchool, Infinite Campus",L,7-step wizard with draft persistence (OnboardingDraftsTable),
Onboarding,School Setup,Onboarding Status Check,Server-truth onboarding completion check,GET /api/v1/onboarding/status → derives from real persisted data,School Admin,-,AuthedFlow gate,✅ Complete,90,No,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,Server,"Ktor, Exposed",Medium,Critical,-,-,Onboarding gate,PowerSchool,S,OnboardingGateViewModel + OnboardingStatus,
Onboarding,School Setup,Onboarding Draft Persistence,Save/resume onboarding wizard,"Draft saved per step, resumable",School Admin,-,SchoolOnboarding wizard,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"Ktor, Exposed",Medium,High,-,-,Draft persistence,-,S,OnboardingDraftsTable,
Parent Portal,Navigation,Parent Portal Shell,5-tab parent shell,"Home, Academics, Fees, Conversations, Profile",Parent,-,AuthedFlow → ParentPortalV2,✅ Complete,90,Yes,No,No,No,No,No,No,-,No,No,No,No,No,All,Compose Multiplatform,High,Critical,-,-,Parent shell,"ClassDojo, Remind",M,,
Parent Portal,Home,Parent Home Dashboard,Child summary dashboard,"Attendance card, schedule card, announcements, quick links",Parent,-,Tab: home,✅ Complete,85,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"ParentDashboardViewModel, ParentApi",High,Critical,-,-,Parent dashboard,"ClassDojo, PowerSchool",M,GET /api/v1/parent/dashboard,
Parent Portal,Home,Parent Unlinked Screen,Two-tab landing for unlinked parents,Link a child / Explore schools,Parent,-,ParentPortalV2 → ParentUnlinkedScreenV2,✅ Complete,85,Yes,No,No,No,No,No,No,-,No,No,No,No,No,All,-,Medium,High,-,-,Onboarding for parent,-,M,Shown when parent has no children linked,
Parent Portal,Academics,Attendance View,Child attendance calendar + summary,Monthly calendar with present/absent/late/leave,Parent,-,Tab: academics → Attendance,✅ Complete,85,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"ParentAcademicsViewModel, ParentApi",High,High,-,-,Attendance tracking,"PowerSchool, Infinite Campus",M,GET /api/v1/parent/child/{id}/attendance,
Parent Portal,Academics,Marks View,Child exam marks / results,List of assessments with scores,Parent,-,Tab: academics → Marks,✅ Complete,85,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"ParentAcademicsViewModel, ParentApi",High,High,-,-,Grade viewing,"PowerSchool, Infinite Campus",M,GET /api/v1/parent/child/{id}/marks,
Parent Portal,Academics,Syllabus View,Child syllabus coverage,Unit-level syllabus progress with covered/uncovered,Parent,-,Tab: academics → Syllabus,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"ParentAcademicsViewModel, ParentApi",Medium,Medium,-,-,Syllabus tracking,-,M,GET /api/v1/parent/child/{id}/syllabus,
Parent Portal,Academics,Timetable View,Child weekly timetable,Period-by-period schedule,Parent,-,Tab: academics → Timetable,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"ParentAcademicsViewModel, ParentApi",Medium,Medium,-,-,Timetable,PowerSchool,M,GET /api/v1/parent/child/{id}/timetable,
Parent Portal,Academics,AI Report Card,AI-generated term report card,"Narrative strengths, focus areas, study tips, holistic assessment, co-scholastic records",Parent,-,Tab: academics → Report, ✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,"AI Report Card 2.0 agentic redesign implemented: ReportCardDraftsTable, HolisticAssessmentsTable, CoScholasticRecordsTable, ReportCardTemplatesTable, ReportFocusEffectivenessTable. AI gateway integration for narrative generation.",No,No,No,No,No,All,-,High,Medium,-,Integrate with marks + attendance + teacher notes,AI report card,"ClassDojo, emerging EdTech",L,"Backend + DB ready, AI gateway wired",
Parent Portal,Fees,Fee Records,Child fee records,"Fee list with status (paid/due/overdue), amounts, dates",Parent,-,Tab: fees,✅ Complete,85,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"FeeViewModel, ParentApi",High,High,-,-,Fee management,"PowerSchool, Infinite Campus",M,GET /api/v1/parent/fees,
Parent Portal,Fees,Fee Payment,Online fee payment,Pay fees via gateway,Parent,-,Tab: fees → Pay,🔴 TODO,0,No,No,No,No,No,No,No,"No backend, no payment gateway integration",No,No,No,No,No,-,-,High,Critical,"Integrate Razorpay/Stripe, backend payment records, receipt generation",Online fee payment is industry standard,"PowerSchool, Infinite Campus, ClassDojo",L,FeeRecordsTable exists but no payment gateway,,
Parent Portal,Conversations,Parent Messaging,Two-way messaging with teachers/school,"Inbox threads, open conversation, reply, compose new",Parent,-,Tab: conversations,✅ Complete,85,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"ParentMessageViewModel, ParentApi",High,High,-,-,Messaging,"ClassDojo, Remind, Bloomz",M,"GET /threads, GET /threads/{id}/messages, POST reply, GET /recipients, compose-new",
Parent Portal,Conversations,Parent Announcements,School-wide announcements feed,List of announcements with category filter + detail view,Parent,-,Tab: conversations → Announcements segment,✅ Complete,85,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,ParentAnnouncementViewModel,Medium,Medium,-,-,Announcements,"ClassDojo, PowerSchool",S,,
Parent Portal,Profile,Parent Profile,Parent profile screen,"Name, mobile, email, linked children, settings",Parent,-,Tab: profile,✅ Complete,85,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,ParentProfileViewModel,Medium,Medium,-,-,Profile,PowerSchool,S,,
Parent Portal,Profile,Parent Profile Card,Collectible profile card,Gamified profile card with child info,Parent,-,Tab: profile → Profile Card overlay,✅ Complete,80,Yes,No,No,No,No,No,No,-,No,No,No,No,No,All,-,Low,Low,-,-,Gamification,ClassDojo,M,ParentProfileCardScreenV2,
Parent Portal,Profile,Link Child,Link parent to school student,Search school → find by roll number → create link request,Parent,-,Profile → LinkChild overlay,✅ Complete,85,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"LinkChildViewModel, ParentApi",High,Critical,-,-,Parent-child linking,PowerSchool,M,"GET /schools/search, POST /link-child, link request approval flow",
Parent Portal,Profile,Parent Leave Request,Apply for child leave,Submit leave request for child → routed to class teacher,Parent,-,Profile → Leave overlay,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"ParentLeaveViewModel, ParentApi",Medium,Medium,-,-,Leave requests,PowerSchool,S,POST /api/v1/parent/leave,
Parent Portal,Discovery,School Discovery,Browse/search schools marketplace,"Search by name/city/location, school profile cards, SRI score",Parent,-,ParentAuth → Discovery overlay,✅ Complete,80,Yes,Yes,Yes,No,No,No,No,-,No,No,No,No,No,All,"SchoolDiscoveryViewModel, KtorSchoolApi",Medium,Medium,-,-,School marketplace,-,M,GET /api/v1/parent/schools/discover with lat/lng/radius,
Parent Portal,Discovery,SRI Score Preview,School Reputation Index preview,"Navy score /10, YoY chip, weighted signals",Parent,-,Discovery → school detail → SRI,🟡 Partially Implemented,40,Yes,No,No,No,No,No,No,"VComingSoon — some fields Coming Soon (classes offered, teacher-student ratio)",No,No,No,No,No,All,-,Low,Low,-,-,School rating,"GreatSchools, ClassDojo",M,"SriPreview.kt — UI chrome only, no backend SRI calculation",
Parent Portal,Discovery,Admission Enquiry,Submit admission enquiry to school,"Name, class, message → school CRM",Parent,-,Discovery → school detail → Enquire,✅ Complete,75,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,-,Medium,Medium,-,-,Admission enquiry,-,S,POST /api/v1/admissions/enquiries,
Parent Portal,Discovery,Academic Calendar (Parent),View academic calendar,"School events, holidays, exam dates",Parent,-,Home → Calendar overlay,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,-,Medium,Medium,-,-,Calendar,PowerSchool,S,AcademicCalendarScreenV2,
Parent Portal,Discovery,Scholarships,View available scholarships,List of scholarships + application,Parent,-,Profile → Scholarships overlay,✅ Complete,75,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,ScholarshipsViewModel,Medium,Low,-,-,Scholarships,-,S,GET /api/v1/parent/scholarships,
Parent Portal,Notifications,Push Notifications (Parent),FCM push notification reception,"Receive push for attendance, marks, announcements, fees",Parent,-,Background/foreground FCM,✅ Complete,75,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,Android,Firebase Cloud Messaging,High,High,-,-,Push notifications,"ClassDojo, Remind",M,VidyaPrayagFirebaseMessagingService + DeviceTokenRegistrar,
Parent Portal,Notifications,In-App Notifications,Notification inbox screen,List of in-app notifications with read/unread,Parent,-,Home → Notifications overlay,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,NotificationsViewModel,Medium,Medium,-,-,Notification center,PowerSchool,S,NotificationsScreenV2,
Teacher Portal,Navigation,Teacher Portal Shell,4-tab teacher shell,"Home (Today), Update, Classes, Profile",Teacher,-,AuthedFlow → TeacherPortalV2,✅ Complete,90,Yes,No,No,No,No,No,No,-,No,No,No,No,No,All,Compose Multiplatform,High,Critical,-,-,Teacher shell,Google Classroom,M,,
Teacher Portal,Today,Teacher Today (Home),Resolved daily schedule,"Day/week view with periods, exceptions, holidays, now/next",Teacher,-,Tab: home,✅ Complete,85,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"TeacherTodayViewModel, TeacherApi",High,Critical,-,-,Teacher dashboard,"Google Classroom, PowerSchool",M,"GET /api/v1/teacher/day, GET /api/v1/teacher/week",
Teacher Portal,Today,Teacher Check-In,Self check-in for attendance,Check-in pill on Today greeting band,Teacher,-,Tab: home → CheckIn popup,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,TeacherCheckInViewModel,Medium,Medium,-,-,Teacher check-in,-,S,"POST /api/v1/teacher/checkin, GET /api/v1/teacher/checkin",
Teacher Portal,Today,Teacher Obligations,Outstanding tasks strip,"What-needs-me strip: unmarked attendance, pending homework",Teacher,-,Tab: home → obligations strip,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,TeacherObligationsViewModel,Medium,High,-,-,Task queue,-,S,GET /api/v1/teacher/obligations,
Teacher Portal,Update,Attendance Marking,Scoped attendance marking,"Load roster, mark present/absent/late/leave, bulk mark all present, save",Teacher,-,Tab: update → Attendance tool,✅ Complete,85,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"TeacherAttendanceViewModel, TeacherApi",High,Critical,-,-,Attendance marking,"PowerSchool, Infinite Campus",M,"GET/POST /api/v1/teacher/attendance, 4-state space, holiday/cancelled detection",
Teacher Portal,Update,Gradebook (Assessments),Assessment lifecycle management,"List/create assessments, load/save marks, publish/unpublish, history",Teacher,-,Tab: update → Gradebook tool,✅ Complete,85,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"TeacherGradebookViewModel, TeacherApi",High,Critical,-,-,Gradebook,"PowerSchool, Google Classroom",M,"GET/POST /assessments, marks load/save, publish/unpublish, history",
Teacher Portal,Update,Syllabus Tracking,Syllabus unit management,"Hierarchical units, create/rename/reorder, one-tap covered toggle",Teacher,-,Tab: update → Syllabus tool,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"TeacherSyllabusViewModel, TeacherApi",Medium,Medium,-,-,Syllabus tracking,-,M,"POST /units, PATCH /units/{id}, PATCH /progress",
Teacher Portal,Update,Homework Management,Homework lifecycle,"Assign, view submissions board, extend, review/grade, close",Teacher,-,Tab: update → Homework tool,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"TeacherHomeworkViewModel, TeacherApi",High,High,-,-,Homework management,"Google Classroom, Canvas",M,"POST /homework, GET /{id}/submissions, POST /{id}/extend, PATCH /{id}/submissions/{studentId}, POST /{id}/close",
Teacher Portal,Classes,Class List,Teacher class list,Single-aggregated-query class list with real roster count,Teacher,-,Tab: classes,✅ Complete,85,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"TeacherClassesViewModel, TeacherApi",High,High,-,-,Class list,Google Classroom,S,GET /api/v1/teacher/classes,
Teacher Portal,Classes,Class Detail,Class detail with roster,Composite class detail with real student roster,Teacher,-,Tab: classes → class detail,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,TeacherClassesViewModel,Medium,Medium,-,-,Class detail,Google Classroom,S,GET /api/v1/teacher/classes/{assignmentId},
Teacher Portal,Classes,Student Profile (Scoped),Scoped student profile drill-down,"Attendance, performance, parent contact — 403 if teacher doesnt teach student",Teacher,-,Tab: classes → student detail,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"TeacherStudentProfileViewModel, TeacherApi",Medium,High,-,-,Student profile (scoped),PowerSchool,S,GET /api/v1/teacher/students/{studentId},
Teacher Portal,Profile,Teacher Profile,Teacher profile screen,"Profile info, subjects, classes, change password, theme",Teacher,-,Tab: profile,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"TeacherProfileViewModel, TeacherProfileActionsViewModel",Medium,Medium,-,-,Teacher profile,Google Classroom,S,GET /api/v1/teacher/profile,
Teacher Portal,Profile,Teacher Self-Leave,Teacher own leave application,Apply for own leave → routed to school admins + list own status,Teacher,-,Profile → Leave,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,TeacherLeaveViewModel,Medium,Medium,-,-,Staff leave,PowerSchool,S,POST/GET /api/v1/teacher/leave,
Teacher Portal,Messaging,Teacher Messaging,Two-way messaging with parents,"Inbox threads, open conversation, class broadcast",Teacher,-,Profile → Messages,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,-,High,High,-,-,Messaging,"ClassDojo, Remind",M,"GET /threads, GET /threads/{id}/messages, POST /class (broadcast)",
Teacher Portal,Notifications,Push Notifications (Teacher),FCM push notification reception,"Receive push for leave approvals, messages, announcements",Teacher,-,Background/foreground FCM,✅ Complete,75,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,Android,Firebase Cloud Messaging,High,High,-,-,Push notifications,ClassDojo,M,,
Teacher Portal,Notifications,In-App Notifications (Teacher),Notification inbox,List of in-app notifications,Teacher,-,Home → Notifications overlay,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,-,Medium,Medium,-,-,Notification center,-,S,,
School Admin,Navigation,School Portal Shell,5-tab admin shell,"Home, People, Records, Comms, Settings",School Admin,-,AuthedFlow → SchoolPortalV2,✅ Complete,90,Yes,No,No,No,No,No,No,-,No,No,No,No,No,All,Compose Multiplatform,High,Critical,-,-,Admin shell,PowerSchool,M,,
School Admin,Home,Admin Dashboard,Analytics-driven command center,"Smart insights, school pulse gauge, KPI grid, campus health, fee collection, parent engagement, events, teacher spotlight, birthdays, live activity",School Admin,-,Tab: home,✅ Complete,85,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,SchoolDashboardViewModel,High,Critical,-,-,Admin dashboard,"PowerSchool, Infinite Campus",L,"GET /api/admin/dashboard/overview, GET /api/admin/dashboard/summary, GET /api/admin/dashboard/analytics",
School Admin,Home,School Intelligence,AI-driven school intelligence,"Insights, risk monitoring, at-risk student detection",School Admin,-,Home → Intelligence,✅ Complete,75,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,-,High,High,-,-,AI insights,Emerging EdTech trend,M,GET /api/v1/school/dashboard/intelligence,
School Admin,People,Student Roster,Student roster management,"List, search, add, edit, soft-delete students",School Admin,-,Tab: people → Students,✅ Complete,85,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,StudentRosterViewModel,High,Critical,-,-,Student management,"PowerSchool, Infinite Campus",L,"GET/POST/DELETE /api/v1/school/students, school-scoped",
School Admin,People,Student Profile (Admin),Full student profile,"Attendance, marks, leave, fees, parent contacts",School Admin,-,People → Student detail,✅ Complete,85,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,StudentProfileViewModel,High,High,-,-,Student profile,PowerSchool,M,GET /api/v1/school/students/{id},
School Admin,People,Teacher Management,Teacher list + profile,"View teachers, assignments, performance, profile detail",School Admin,-,Tab: people → Teachers,✅ Complete,85,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,"SchoolTeachersViewModel, TeacherProfileViewModel",High,High,-,-,Staff management,PowerSchool,M,"GET /api/v1/school/teachers, GET /api/v1/school/teachers/{id}",
School Admin,People,Teacher Provisioning,Create teacher app accounts,Create teacher user → app_users + faculty mirror + assignments,School Admin,-,Onboarding → Teacher provisioning,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,TeacherProvisioningOBViewModel,High,High,-,-,Staff provisioning,PowerSchool,M,"POST /api/v1/school/teachers, DELETE, reset-password",
School Admin,People,Teacher Assignment Management,Assign teachers to class+subject,"Create/upsert/delete teacher-subject assignments, bulk assign",School Admin,-,People → Teacher assignments,✅ Complete,85,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,TeacherAssignmentViewModel,High,High,-,-,Teacher assignment,PowerSchool,M,"GET/POST/DELETE /api/v1/school/teacher-assignments, bulk, overview",
School Admin,People,Non-Teaching Staff,Non-teaching staff management,"List, add, edit non-teaching staff",School Admin,-,People → Staff,✅ Complete,75,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,StaffViewModel,Medium,Low,-,-,Staff management,PowerSchool,S,NonTeachingStaffTable,
School Admin,People,Staff Profile,Staff profile detail,"View staff details, assignments, coverage",School Admin,-,People → Staff detail,✅ Complete,75,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,-,Medium,Low,-,-,Staff profile,-,S,StaffProfileScreenV2,
School Admin,People,Link Requests,Parent link request approval,Approve/reject parent-child link requests,School Admin,-,People → Link Requests overlay,✅ Complete,85,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,LinkRequestsViewModel,High,High,-,-,Link approval,PowerSchool,S,GET/POST /api/v1/parent/link-requests/{id}/approve|reject,
School Admin,Records,Attendance Summary,School-wide attendance rollup,Daily attendance summary by class,School Admin,-,Tab: records → Attendance,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,DailyAttendanceViewModel,Medium,Medium,-,-,Attendance reports,PowerSchool,S,GET /api/v1/school/attendance/summary,
School Admin,Records,Marks Summary,School-wide marks rollup,Marks summary by class/subject,School Admin,-,Tab: records → Marks,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,-,Medium,Medium,-,-,Marks reports,PowerSchool,S,GET /api/v1/school/marks/summary,
School Admin,Records,Fee Ledger,School-wide fee ledger,"Fee collection summary, outstanding, overdue",School Admin,-,Tab: records → Fees,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,-,Medium,High,-,-,Fee reports,PowerSchool,S,GET /api/v1/school/fees/ledger,
School Admin,Records,Documents,School documents / media storage,"Upload, manage, share documents",School Admin,-,Tab: records → Documents,🟠 Stub,10,Yes,No,No,No,No,No,No,VComingSoon — no media-storage backend for documents,No,No,No,No,No,All,-,Medium,Medium,Integrate Supabase Storage for document management,Document management is standard,"PowerSchool, Infinite Campus",M,SupabaseStorage exists for media but not wired for documents,,
School Admin,Records,Daily Attendance Screen,Daily attendance marking (admin),Mark attendance for a class on a specific date,School Admin,-,Records → Daily Attendance overlay,✅ Complete,75,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,DailyAttendanceViewModel,Medium,Medium,-,-,Daily attendance,PowerSchool,S,DailyAttendanceScreenV2,
School Admin,Comms,Announcements,School-wide announcements,"Create, list, filter, detail view announcements",School Admin,-,Tab: comms → Announcements,✅ Complete,85,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,SchoolAnnouncementsViewModel,High,High,-,-,Announcements,"ClassDojo, PowerSchool",S,"GET/POST /api/v1/announcements, category filter, WhatsApp sync",
School Admin,Comms,Messages (Admin),Two-way messaging,"Thread list, open conversation, read receipts",School Admin,-,Tab: comms → Messages overlay,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,MessagesViewModel,High,High,-,-,Messaging,"ClassDojo, Remind",S,GET/POST /api/v1/school/messages,
School Admin,Comms,PTM Scheduling,Parent-teacher meeting scheduling,"Create PTM events, class progress, complete, metrics",School Admin,-,Tab: comms → PTM overlay,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,SchedulePTMViewModel,Medium,Medium,-,-,PTM scheduling,"SchoolStatus, PowerSchool",S,"PtmEventsTable, PtmClassProgressTable, PATCH/PUT/POST endpoints",
School Admin,Comms,Notifications (Admin),Notification management,Send and manage notifications,School Admin,-,Tab: comms → Notifications,🟠 Stub,15,Yes,No,No,No,No,No,No,VComingSoon — no admin notification management UI,No,No,No,No,No,All,-,Medium,Medium,Build admin notification composer + targeting,Notification management,PowerSchool,M,Backend has POST /api/admin/notifications/send but no admin UI,,
School Admin,Comms,Leave Requests (Admin),Student leave request approval,Approve/reject student leave requests routed from parents/teachers,School Admin,-,Tab: comms → Leave Requests overlay,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,LeaveRequestsViewModel,Medium,Medium,-,-,Leave management,PowerSchool,S,PATCH /api/v1/school/leave-requests/{id}/status,
School Admin,Settings,Institutional Profile,School profile view + edit,"School name, board, contact, principal, address, philosophy, media",School Admin,-,Tab: settings,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,InstitutionalProfileViewModel,Medium,Medium,-,-,School profile,PowerSchool,S,"GET/PUT /api/v1/user/profile, philosophy, tour-videos, gallery, visibility",
School Admin,Settings,Edit School Profile,Edit school profile screen,"Edit school name, board, address, principal, contact",School Admin,-,Settings → Edit Profile overlay,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,-,Medium,Medium,-,-,Profile editing,PowerSchool,S,EditSchoolProfileScreenV2,
School Admin,Settings,Academic Year Management,Create/activate/archive academic years,"Exactly one active year, view historical years",School Admin,-,Settings → Academic Year overlay,✅ Complete,80,Yes,Yes,Yes,Yes,No,No,No,-,No,No,No,No,No,All,AcademicYearViewModel,Medium,High,-,-,Academic year,"PowerSchool, Infinite Campus",S,GET/POST/PUT /api/v1/calendar/academic-years,
