BugNumber,Title,Component,Severity,BugType,StepsToReproduce,ActualResult,ExpectedResult,Status,Role
11,Teacher Edit Profile Not Working,UI — Teacher Profile,P1,Navigation,"Open Teacher Profile. Click Edit.",Profile screen opens again without edit functionality.,Teacher details should be editable.,Fixed,Teacher
12,Danger Zone UI Overlapping,UI — Teacher / Profile Settings,P2,UI Layout,"Open Teacher/Profile Settings. Scroll to Danger Zone.",Image/UI overlaps.,Danger Zone should be displayed properly.,Open,Teacher
13,Newly Added Teacher Not Visible,UI — Teacher List,P2,Data / State Sync,"Add another teacher. Return to Teachers list.",New teacher is not visible until searched. Text alignment is broken.,New teacher should appear immediately with proper alignment.,Open,School
14,Non-Teaching Staff Role Field,UI — Staff Management,P2,UI / Component Type,Add Non-Teaching Staff.,Role is a text field.,Role should be a dropdown.,Open,School
15,Teacher & Non-Teaching Tab Overlap,UI — Staff Management,P2,UI Layout,Switch between Teacher and Non-Teaching tabs.,Both tab labels overlap (50-50 visibility).,Only the selected tab should be fully visible.,Open,School
16,Dashboard Staff Count Incorrect,Dashboard / Analytics,P1,Data / Logic,"Add 2 Teachers and 1 Non-Teaching Staff. Open Dashboard.",Dashboard shows only 2 staff members.,Dashboard should show a total of 3 staff members.,Open,School
17,Common Hub Tab Overlapping,UI — Common Hub,P2,UI Layout,Switch between tabs in Common Hub.,Tab labels overlap.,Tabs should switch correctly without overlap.,Open,School
18,City & Pincode Mismatch,School Profile / Validation,P2,Input Validation,"Edit School Profile. Enter Varanasi PIN Code. Set City as New Delhi.",Data is saved.,City should be validated against the entered PIN Code.,Open,School
19,Invalid PIN Code Accepted,School Profile / Validation,P2,Input Validation,"Enter an invalid PIN Code. Save.",Invalid PIN Code is accepted.,Application should reject invalid PIN Codes.,Open,School
20,Inconsistent Dropdown Design,UI — Design System,P3,UI / Design System,Compare onboarding Role dropdown with other dropdowns.,Different dropdown styles are used.,A consistent dropdown design should be used throughout the application.,Open,School
21,School Location Mismatch,School Profile,P1,Data / Logic,"Create a school in Bangalore. Save profile.",Location displays Uttar Pradesh.,Location should match the selected city/state.,Open,School
22,Duplicate Principal Email,School Profile / Contact Details,P2,UI / Duplicate Field,"Open School Profile. Navigate to Contact Details.",Principal email appears twice.,Only one Principal Email field should be displayed.,Open,School
23,Settings Screen Refresh Loop,Settings,P1,API / Loading,"Open Settings. Pull to refresh or revisit the page.",Screen keeps refreshing continuously and requires reopening the app.,Settings page should refresh only once and remain stable.,Open,School
24,Add Class & Add Student Visible Everywhere,UI — Classes / Subjects / Schedule,P2,UI / Navigation,"Open Classes, Subjects, or Schedule tabs. Observe the available actions.","""Add Class"" and ""Add Student"" actions appear on all tabs.",Only relevant actions should be displayed for each tab.,Open,School
25,Class Code Class Name & Section Accept Invalid Values,UI — Class Management,P2,Input Validation,"Add a class. Enter special characters/numbers in Class Code, Class Name, and Section.",Invalid values are accepted.,Appropriate validation should be applied to each field.,Open,School
26,Incorrect Teacher Subject Mapping,Teacher / Subject Assignment,P1,Data / Logic,"Assign Ritika as a Hindi teacher. Open Teacher Profile or Subject Assignment.",Ritika is shown as both Hindi and Mathematics teacher.,Only assigned subjects should be displayed.,Open,School
27,Unable to Assign Teacher to Multiple Classes,Teacher / Class Assignment,P1,Functionality,"Assign Sanjay to Class 10. Try assigning him to Class 11.",Only one class can be selected.,A teacher should be assignable to multiple classes.,Open,School
28,Teacher Not Available in Class Assignment,Teacher / Class Assignment,P1,Data / Logic,"Open Class Assignment. Try assigning Sanjay.",Only two teachers appear in the list.,All available teachers should be displayed.,Open,School
29,No Validation for Duplicate Teacher Assignment,Teacher / Class Assignment,P2,Validation,"Assign the same teacher to two classes simultaneously.",System hangs without any message.,A validation message should be shown for duplicate assignment.,Open,School
30,Unable to Add Teacher from Schedule,UI — Schedule,P1,Functionality,"Open Schedule. Try adding a teacher.",Teacher cannot be added.,Teacher should be added successfully.,Open,School
31,Incorrect Teacher Subject Display,Teacher Profile,P1,Data / Logic,"Open Kajal's Teacher Profile.",She is shown as an English teacher as well as Physics and Chemistry teacher.,Only assigned subjects should be displayed.,Open,School
32,Invalid Error While Adding Exception,Schedule / Exception,P2,Error Handling,"Add an exception. Save.",Error displayed: ""Invalid kind cancel."",Exception should be created successfully or a meaningful validation message should be shown.,Open,School
33,Unable to Edit Transport/Vehicle Route,Transport,P1,Functionality,"Open Transport. Edit an existing vehicle route.",Edit functionality does not work.,Vehicle route should be editable.,Open,School
34,Library Onboarding Wizard Error,Library,P1,API / Error,"Open Library onboarding wizard. Continue through the steps.","""Something went wrong. Please try again.""",Library onboarding should complete successfully.,Open,School
35,Unable to Add Library Category,Library,P1,Functionality,"Open Library.",Category is not created.,Category should be added successfully.,Open,School
36,Underscore in Fee Structure Label,Fee Structure,P3,UI / Label,Open Fee Structure.,Label contains an underscore (_).,Label should be displayed without underscores.,Open,School
37,Duplicate English Option in Preferences,Settings / Preferences,P3,UI / Duplicate,"Open Settings → Preferences.",English language appears twice.,Each language should appear only once.,Open,School
38,Non-Teaching Staff UI Overlapping,UI — Staff Management,P2,UI Layout,"Open Non-Teaching Staff section.",Text overlaps.,UI should be properly aligned.,Open,School
39,Invalid Academic Year Dates Accepted,Academic Calendar,P2,Input Validation,"Enter an End Date earlier than the Start Date. Save.",Invalid dates are accepted.,End Date should not be earlier than Start Date.,Open,School
41,Attendance Allowed on Non-School Day,Teacher / Attendance,P1,Logic / Validation,"Login as Teacher. Open Attendance on a non-school day. Submit attendance.",Attendance is submitted successfully.,Attendance submission should be blocked on non-school days.,Open,Teacher
42,Project Column UI Issue,UI — Marks,P2,UI Layout,"Open Marks tab.",Project field goes outside the layout.,Project field should remain properly aligned.,Open,School
43,Class Goal Not Visible,Class Goal,P1,Data / Visibility,"Add a Class Goal. Search for it in the application.",Class Goal is not visible anywhere.,Added Class Goal should be displayed in the appropriate section.,Open,School
44,Unable to Add Mentor,Mentor,P1,Functionality,"Open Mentor section. Add a mentor.",Mentor is not added.,Mentor should be added successfully.,Open,School
45,Period Update Request Cannot Be Submitted,Period Update Request,P1,Functionality,"Open Period Update Request. Fill required details. Submit.",Request is not submitted.,Period update request should be submitted successfully.,Open,Teacher
46,Incorrect Label - Appearance,Settings,P3,UI / Label,"Open the relevant Settings screen.",Label is displayed as Appearance.,The label should be Language.,Open,School
